```csv
nutrient_identifier,life_stage_name,dri_type,value_numeric,value_string,unit,source_of_goal,criterion,footnote_marker,notes,source_document
FOL_DFE,"Females 9-13 years",EAR,250,,,µg/d of DFE,"Table 13-1","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Females 9-13 years",RDA,300,,,µg/d of DFE,"Derived from Table 13-1 EAR (EAR * 1.2)","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Females 14-18 years",EAR,330,,,µg/d of DFE,"Table 13-1","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Females 14-18 years",RDA,400,,,µg/d of DFE,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Females 19-30 years",EAR,320,,,µg/d of DFE,"Table 13-1","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Females 19-30 years",RDA,400,,,µg/d of DFE,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Females 31-50 years",EAR,320,,,µg/d of DFE,"Table 13-1","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Females 31-50 years",RDA,400,,,µg/d of DFE,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Females 51-70 years",EAR,320,,,µg/d of DFE,"Table 13-1","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Females 51-70 years",RDA,400,,,µg/d of DFE,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Females >70 years",EAR,320,,,µg/d of DFE,"Table 13-1","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Females >70 years",RDA,400,,,µg/d of DFE,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Erythrocyte folate, plasma homocysteine, plasma/serum folate; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Pregnancy (all ages)",EAR,520,,,µg/d of DFE,"Table 13-1","Maintenance of normal folate status and fetal/maternal growth; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Pregnancy (all ages)",RDA,600,,,µg/d of DFE,"Ch.8 Folate RDA Summary, Pregnancy","Maintenance of normal folate status and fetal/maternal growth; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Lactation (all ages)",EAR,450,,,µg/d of DFE,"Table 13-1","Folate secretion in milk; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
FOL_DFE,"Lactation (all ages)",RDA,500,,,µg/d of DFE,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Folate secretion in milk; see Ch.8",b,"DFE = Dietary Folate Equivalents. See Ch.8 for definition.",IOM DRI B-Vit 1998
VITB12,"Infants 0-6 months",AI,0.4,,µg/d,"Ch.9 Vitamin B12 AI Summary","Observed mean B12 intake from human milk",,,IOM DRI B-Vit 1998
VITB12,"Infants 7-12 months",AI,0.5,,µg/d,"Ch.9 Vitamin B12 AI Summary","Extrapolated from younger infants and adult EARs",,,IOM DRI B-Vit 1998
VITB12,"Children 1-3 years",EAR,0.7,,µg/d,"Table 13-1","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Children 1-3 years",RDA,0.9,,µg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Children 4-8 years",EAR,1.0,,µg/d,"Table 13-1","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Children 4-8 years",RDA,1.2,,µg/d,"Derived from Table 13-1 EAR (EAR * 1.2)","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Males 9-13 years",EAR,1.5,,µg/d,"Table 13-1","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Males 9-13 years",RDA,1.8,,µg/d,"Derived from Table 13-1 EAR (EAR * 1.2)","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Males 14-18 years",EAR,2.0,,µg/d,"Table 13-1","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Males 14-18 years",RDA,2.4,,µg/d,"Derived from Table 13-1 EAR (EAR * 1.2)","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Males 19-30 years",EAR,2.0,,µg/d,"Table 13-1","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Males 19-30 years",RDA,2.4,,µg/d,"Derived from Table 13-1 EAR (EAR * 1.2)","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Males 31-50 years",EAR,2.0,,µg/d,"Table 13-1","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Males 31-50 years",RDA,2.4,,µg/d,"Derived from Table 13-1 EAR (EAR * 1.2)","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Males 51-70 years",EAR,2.0,,µg/d,"Table 13-1","Maintenance of hematological status and normal serum B12; see Ch.9",,"*It is advisable for most of this amount to be obtained by consuming foods fortified with B12 or a B12-containing supplement.",IOM DRI B-Vit 1998
VITB12,"Males 51-70 years",RDA,2.4,,µg/d,"Derived from Table 13-1 EAR (EAR * 1.2)","Maintenance of hematological status and normal serum B12; see Ch.9",,"*It is advisable for most of this amount to be obtained by consuming foods fortified with B12 or a B12-containing supplement.",IOM DRI B-Vit 1998
VITB12,"Males >70 years",EAR,2.0,,µg/d,"Table 13-1","Maintenance of hematological status and normal serum B12; see Ch.9",,"*It is advisable for most of this amount to be obtained by consuming foods fortified with B12 or a B12-containing supplement.",IOM DRI B-Vit 1998
VITB12,"Males >70 years",RDA,2.4,,µg/d,"Derived from Table 13-1 EAR (EAR * 1.2)","Maintenance of hematological status and normal serum B12; see Ch.9",,"*It is advisable for most of this amount to be obtained by consuming foods fortified with B12 or a B12-containing supplement.",IOM DRI B-Vit 1998
VITB12,"Females 9-13 years",EAR,1.5,,µg/d,"Table 13-1","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Females 9-13 years",RDA,1.8,,µg/d,"Derived from Table 13-1 EAR (EAR * 1.2)","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Females 14-18 years",EAR,2.0,,µg/d,"Table 13-1","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Females 14-18 years",RDA,2.4,,µg/d,"Derived from Table 13-1 EAR (EAR * 1.2)","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Females 19-30 years",EAR,2.0,,µg/d,"Table 13-1","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Females 19-30 years",RDA,2.4,,µg/d,"Derived from Table 13-1 EAR (EAR * 1.2)","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Females 31-50 years",EAR,2.0,,µg/d,"Table 13-1","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Females 31-50 years",RDA,2.4,,µg/d,"Derived from Table 13-1 EAR (EAR * 1.2)","Maintenance of hematological status and normal serum B12; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Females 51-70 years",EAR,2.0,,µg/d,"Table 13-1","Maintenance of hematological status and normal serum B12; see Ch.9",,"*It is advisable for most of this amount to be obtained by consuming foods fortified with B12 or a B12-containing supplement.",IOM DRI B-Vit 1998
VITB12,"Females 51-70 years",RDA,2.4,,µg/d,"Derived from Table 13-1 EAR (EAR * 1.2)","Maintenance of hematological status and normal serum B12; see Ch.9",,"*It is advisable for most of this amount to be obtained by consuming foods fortified with B12 or a B12-containing supplement.",IOM DRI B-Vit 1998
VITB12,"Females >70 years",EAR,2.0,,µg/d,"Table 13-1","Maintenance of hematological status and normal serum B12; see Ch.9",,"*It is advisable for most of this amount to be obtained by consuming foods fortified with B12 or a B12-containing supplement.",IOM DRI B-Vit 1998
VITB12,"Females >70 years",RDA,2.4,,µg/d,"Derived from Table 13-1 EAR (EAR * 1.2)","Maintenance of hematological status and normal serum B12; see Ch.9",,"*It is advisable for most of this amount to be obtained by consuming foods fortified with B12 or a B12-containing supplement.",IOM DRI B-Vit 1998
VITB12,"Pregnancy (all ages)",EAR,2.2,,µg/d,"Table 13-1","Fetal deposition and maternal absorption efficiency; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Pregnancy (all ages)",RDA,2.6,,µg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","Fetal deposition and maternal absorption efficiency; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Lactation (all ages)",EAR,2.4,,µg/d,"Table 13-1","B12 secretion in milk; see Ch.9",,,IOM DRI B-Vit 1998
VITB12,"Lactation (all ages)",RDA,2.8,,µg/d,"Derived from Table 13-1 EAR (EAR * 1.2, rounded)","B12 secretion in milk; see Ch.9",,,IOM DRI B-Vit 1998
PANTAC,"Infants 0-6 months",AI,1.7,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Observed mean pantothenic acid intake from human milk",,,IOM DRI B-Vit 1998
PANTAC,"Infants 7-12 months",AI,1.8,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Extrapolated from younger infants and adult AIs",,,IOM DRI B-Vit 1998
PANTAC,"Children 1-3 years",AI,2,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Extrapolated from adult AI, consistent with urinary excretion data",,,IOM DRI B-Vit 1998
PANTAC,"Children 4-8 years",AI,3,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Extrapolated from adult AI, consistent with urinary excretion data",,,IOM DRI B-Vit 1998
PANTAC,"Boys 9-13 years",AI,4,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Extrapolated from adult AI, consistent with urinary excretion data",,,IOM DRI B-Vit 1998
PANTAC,"Girls 9-13 years",AI,4,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Extrapolated from adult AI, consistent with urinary excretion data",,,IOM DRI B-Vit 1998
PANTAC,"Males 14-18 years",AI,5,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Urinary excretion and usual intakes",,,IOM DRI B-Vit 1998
PANTAC,"Females 14-18 years",AI,5,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Urinary excretion and usual intakes",,,IOM DRI B-Vit 1998
PANTAC,"Men 19-30 years",AI,5,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Urinary excretion and usual intakes",,,IOM DRI B-Vit 1998
PANTAC,"Men 31-50 years",AI,5,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Urinary excretion and usual intakes",,,IOM DRI B-Vit 1998
PANTAC,"Men 51-70 years",AI,5,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Urinary excretion and usual intakes",,,IOM DRI B-Vit 1998
PANTAC,"Men >70 years",AI,5,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Urinary excretion and usual intakes",,,IOM DRI B-Vit 1998
PANTAC,"Women 19-30 years",AI,5,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Urinary excretion and usual intakes",,,IOM DRI B-Vit 1998
PANTAC,"Women 31-50 years",AI,5,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Urinary excretion and usual intakes",,,IOM DRI B-Vit 1998
PANTAC,"Women 51-70 years",AI,5,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Urinary excretion and usual intakes",,,IOM DRI B-Vit 1998
PANTAC,"Women >70 years",AI,5,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Urinary excretion and usual intakes",,,IOM DRI B-Vit 1998
PANTAC,"Pregnancy 14-18 years",AI,6,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Based on average intakes of pregnant women",,,IOM DRI B-Vit 1998
PANTAC,"Pregnancy 19-30 years",AI,6,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Based on average intakes of pregnant women",,,IOM DRI B-Vit 1998
PANTAC,"Pregnancy 31-50 years",AI,6,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Based on average intakes of pregnant women",,,IOM DRI B-Vit 1998
PANTAC,"Lactation 14-18 years",AI,7,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Pantothenic acid secretion in milk",,,IOM DRI B-Vit 1998
PANTAC,"Lactation 19-30 years",AI,7,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Pantothenic acid secretion in milk",,,IOM DRI B-Vit 1998
PANTAC,"Lactation 31-50 years",AI,7,,mg/d,"Ch.10 Pantothenic Acid AI Summary","Pantothenic acid secretion in milk",,,IOM DRI B-Vit 1998
BIOTIN,"Infants 0-6 months",AI,5,,µg/d,"Ch.11 Biotin AI Summary","Observed mean biotin intake from human milk",,,IOM DRI B-Vit 1998
BIOTIN,"Infants 7-12 months",AI,6,,µg/d,"Ch.11 Biotin AI Summary","Extrapolated from younger infants",,,IOM DRI B-Vit 1998
BIOTIN,"Children 1-3 years",AI,8,,µg/d,"Ch.11 Biotin AI Summary","Extrapolated from infant AI",,,IOM DRI B-Vit 1998
BIOTIN,"Children 4-8 years",AI,12,,µg/d,"Ch.11 Biotin AI Summary","Extrapolated from infant AI",,,IOM DRI B-Vit 1998
BIOTIN,"Boys 9-13 years",AI,20,,µg/d,"Ch.11 Biotin AI Summary","Extrapolated from infant AI",,,IOM DRI B-Vit 1998
BIOTIN,"Girls 9-13 years",AI,20,,µg/d,"Ch.11 Biotin AI Summary","Extrapolated from infant AI",,,IOM DRI B-Vit 1998
BIOTIN,"Males 14-18 years",AI,25,,µg/d,"Ch.11 Biotin AI Summary","Extrapolated from infant AI",,,IOM DRI B-Vit 1998
BIOTIN,"Females 14-18 years",AI,25,,µg/d,"Ch.11 Biotin AI Summary","Extrapolated from infant AI",,,IOM DRI B-Vit 1998
BIOTIN,"Men 19-30 years",AI,30,,µg/d,"Ch.11 Biotin AI Summary","Extrapolated from infant AI; supports normal urinary excretion of 3-hydroxyisovaleric acid",,,IOM DRI B-Vit 1998
BIOTIN,"Men 31-50 years",AI,30,,µg/d,"Ch.11 Biotin AI Summary","Extrapolated from infant AI; supports normal urinary excretion of 3-hydroxyisovaleric acid",,,IOM DRI B-Vit 1998
BIOTIN,"Men 51-70 years",AI,30,,µg/d,"Ch.11 Biotin AI Summary","Extrapolated from infant AI; supports normal urinary excretion of 3-hydroxyisovaleric acid",,,IOM DRI B-Vit 1998
BIOTIN,"Men >70 years",AI,30,,µg/d,"Ch.11 Biotin AI Summary","Extrapolated from infant AI; supports normal urinary excretion of 3-hydroxyisovaleric acid",,,IOM DRI B-Vit 1998
BIOTIN,"Women 19-30 years",AI,30,,µg/d,"Ch.11 Biotin AI Summary","Extrapolated from infant AI; supports normal urinary excretion of 3-hydroxyisovaleric acid",,,IOM DRI B-Vit 1998
BIOTIN,"Women 31-50 years",AI,30,,µg/d,"Ch.11 Biotin AI Summary","Extrapolated from infant AI; supports normal urinary excretion of 3-hydroxyisovaleric acid",,,IOM DRI B-Vit 1998
BIOTIN,"Women 51-70 years",AI,30,,µg/d,"Ch.11 Biotin AI Summary","Extrapolated from infant AI; supports normal urinary excretion of 3-hydroxyisovaleric acid",,,IOM DRI B-Vit 1998
BIOTIN,"Women >70 years",AI,30,,µg/d,"Ch.11 Biotin AI Summary","Extrapolated from infant AI; supports normal urinary excretion of 3-hydroxyisovaleric acid",,,IOM DRI B-Vit 1998
BIOTIN,"Pregnancy 14-18 years",AI,30,,µg/d,"Ch.11 Biotin AI Summary","Insufficient data to justify increase over non-pregnant AI",,,IOM DRI B-Vit 1998
BIOTIN,"Pregnancy 19-30 years",AI,30,,µg/d,"Ch.11 Biotin AI Summary","Insufficient data to justify increase over non-pregnant AI",,,IOM DRI B-Vit 1998
BIOTIN,"Pregnancy 31-50 years",AI,30,,µg/d,"Ch.11 Biotin AI Summary","Insufficient data to justify increase over non-pregnant AI",,,IOM DRI B-Vit 1998
BIOTIN,"Lactation 14-18 years",AI,35,,µg/d,"Ch.11 Biotin AI Summary","Covers biotin secretion in milk",,,IOM DRI B-Vit 1998
BIOTIN,"Lactation 19-30 years",AI,35,,µg/d,"Ch.11 Biotin AI Summary","Covers biotin secretion in milk",,,IOM DRI B-Vit 1998
BIOTIN,"Lactation 31-50 years",AI,35,,µg/d,"Ch.11 Biotin AI Summary","Covers biotin secretion in milk",,,IOM DRI B-Vit 1998
CHOLN,"Infants 0-6 months",AI,125,,mg/d,"Ch.12 Choline AI Summary","Observed mean choline intake from human milk",,,IOM DRI B-Vit 1998
CHOLN,"Infants 7-12 months",AI,150,,mg/d,"Ch.12 Choline AI Summary","Extrapolated from younger infants and adult AIs",,,IOM DRI B-Vit 1998
CHOLN,"Children 1-3 years",AI,200,,mg/d,"Ch.12 Choline AI Summary","Extrapolated from adult AI",,,IOM DRI B-Vit 1998
CHOLN,"Children 4-8 years",AI,250,,mg/d,"Ch.12 Choline AI Summary","Extrapolated from adult AI",,,IOM DRI B-Vit 1998
CHOLN,"Boys 9-13 years",AI,375,,mg/d,"Ch.12 Choline AI Summary","Extrapolated from adult AI",,,IOM DRI B-Vit 1998
CHOLN,"Girls 9-13 years",AI,375,,mg/d,"Ch.12 Choline AI Summary","Extrapolated from adult AI",,,IOM DRI B-Vit 1998
CHOLN,"Males 14-18 years",AI,550,,mg/d,"Ch.12 Choline AI Summary","Prevention of liver damage (elevated ALT)",,,IOM DRI B-Vit 1998
CHOLN,"Females 14-18 years",AI,400,,mg/d,"Ch.12 Choline AI Summary","Extrapolated from adult female AI",,,IOM DRI B-Vit 1998
CHOLN,"Men 19-30 years",AI,550,,mg/d,"Ch.12 Choline AI Summary","Prevention of liver damage (elevated ALT)",,,IOM DRI B-Vit 1998
CHOLN,"Men 31-50 years",AI,550,,mg/d,"Ch.12 Choline AI Summary","Prevention of liver damage (elevated ALT)",,,IOM DRI B-Vit 1998
CHOLN,"Men 51-70 years",AI,550,,mg/d,"Ch.12 Choline AI Summary","Prevention of liver damage (elevated ALT)",,,IOM DRI B-Vit 1998
CHOLN,"Men >70 years",AI,550,,mg/d,"Ch.12 Choline AI Summary","Prevention of liver damage (elevated ALT)",,,IOM DRI B-Vit 1998
CHOLN,"Women 19-30 years",AI,425,,mg/d,"Ch.12 Choline AI Summary","Prevention of liver damage (extrapolated from male data)",,,IOM DRI B-Vit 1998
CHOLN,"Women 31-50 years",AI,425,,mg/d,"Ch.12 Choline AI Summary","Prevention of liver damage (extrapolated from male data)",,,IOM DRI B-Vit 1998
CHOLN,"Women 51-70 years",AI,425,,mg/d,"Ch.12 Choline AI Summary","Prevention of liver damage (extrapolated from male data)",,,IOM DRI B-Vit 1998
CHOLN,"Women >70 years",AI,425,,mg/d,"Ch.12 Choline AI Summary","Prevention of liver damage (extrapolated from male data)",,,IOM DRI B-Vit 1998
CHOLN,"Pregnancy 14-18 years",AI,450,,mg/d,"Ch.12 Choline AI Summary","Fetal and placental accumulation of choline",,,IOM DRI B-Vit 1998
CHOLN,"Pregnancy 19-30 years",AI,450,,mg/d,"Ch.12 Choline AI Summary","Fetal and placental accumulation of choline",,,IOM DRI B-Vit 1998
CHOLN,"Pregnancy 31-50 years",AI,450,,mg/d,"Ch.12 Choline AI Summary","Fetal and placental accumulation of choline",,,IOM DRI B-Vit 1998
CHOLN,"Lactation 14-18 years",AI,550,,mg/d,"Ch.12 Choline AI Summary","Choline secretion in milk",,,IOM DRI B-Vit 1998
CHOLN,"Lactation 19-30 years",AI,550,,mg/d,"Ch.12 Choline AI Summary","Choline secretion in milk",,,IOM DRI B-Vit 1998
CHOLN,"Lactation 31-50 years",AI,550,,mg/d,"Ch.12 Choline AI Summary","Choline secretion in milk",,,IOM DRI B-Vit 1998
NIA,"Infants 0-12 months",UL,,,mg,UL,,c,"ND. Not determinable. Source of intake should be from formula and food only.",IOM DRI B-Vit 1998 S-2
NIA,"Children 1-3 years",UL,10,,mg,UL,,,"Supplements, fortified foods, or combination",IOM DRI B-Vit 1998 S-2
NIA,"Children 4-8 years",UL,15,,mg,UL,,,"Supplements, fortified foods, or combination",IOM DRI B-Vit 1998 S-2
NIA,"Children 9-13 years",UL,20,,mg,UL,,,"Supplements, fortified foods, or combination",IOM DRI B-Vit 1998 S-2
NIA,"Adolescents 14-18 years",UL,30,,mg,UL,,,"Supplements, fortified foods, or combination",IOM DRI B-Vit 1998 S-2
NIA,"Adults >=19 years",UL,35,,mg,UL,,,"Supplements, fortified foods, or combination",IOM DRI B-Vit 1998 S-2
NIA,"Pregnancy <=18 years",UL,30,,mg,UL,,,"Supplements, fortified foods, or combination",IOM DRI B-Vit 1998 S-2
NIA,"Pregnancy >=19 years",UL,35,,mg,UL,,,"Supplements, fortified foods, or combination",IOM DRI B-Vit 1998 S-2
NIA,"Lactation <=18 years",UL,30,,mg,UL,,,"Supplements, fortified foods, or combination",IOM DRI B-Vit 1998 S-2
NIA,"Lactation >=19 years",UL,35,,mg,UL,,,"Supplements, fortified foods, or combination",IOM DRI B-Vit 1998 S-2
VITB6,"Infants 0-12 months",UL,,,mg,UL,,c,"ND. Not determinable. Source of intake should be from formula and food only.",IOM DRI B-Vit 1998 S-2
VITB6,"Children 1-3 years",UL,30,,mg,UL,,,,IOM DRI B-Vit 1998 S-2
VITB6,"Children 4-8 years",UL,40,,mg,UL,,,,IOM DRI B-Vit 1998 S-2
VITB6,"Children 9-13 years",UL,60,,mg,UL,,,,IOM DRI B-Vit 1998 S-2
VITB6,"Adolescents 14-18 years",UL,80,,mg,UL,,,,IOM DRI B-Vit 1998 S-2
VITB6,"Adults >=19 years",UL,100,,mg,UL,,,,IOM DRI B-Vit 1998 S-2
VITB6,"Pregnancy <=18 years",UL,80,,mg,UL,,,,IOM DRI B-Vit 1998 S-2
VITB6,"Pregnancy >=19 years",UL,100,,mg,UL,,,,IOM DRI B-Vit 1998 S-2
VITB6,"Lactation <=18 years",UL,80,,mg,UL,,,,IOM DRI B-Vit 1998 S-2
VITB6,"Lactation >=19 years",UL,100,,mg,UL,,,,IOM DRI B-Vit 1998 S-2
FOL_DFE,"Infants 0-12 months",UL,,,mcg DFE,UL,,c,"ND. Not determinable. Source of intake should be from formula and food only.",IOM DRI B-Vit 1998 S-2
FOL_DFE,"Children 1-3 years",UL,300,,mcg DFE,UL,,,"Supplements, fortified foods, or combination",IOM DRI B-Vit 1998 S-2
FOL_DFE,"Children 4-8 years",UL,400,,mcg DFE,UL,,,"Supplements, fortified foods, or combination",IOM DRI B-Vit 1998 S-2
